特約商店名稱,營業地址
５０嵐綠茶連鎖專賣店高應大店,高雄市三民區 大昌二路５５５號１樓
５０嵐綠茶連鎖專賣店崇德店,高雄市左營區 崇德路２７７號１樓
５０嵐綠茶連鎖專賣店崇德店,高雄市左營區 崇德路２７７號１樓
５０嵐綠茶連鎖專賣店捷運鳳山店,高雄市鳳山區 光遠路３３５號
５０嵐綠茶連鎖專賣店捷運鳳山店,高雄市鳳山區 光遠路３３５號
５０嵐綠茶連鎖專賣店蚵仔寮店,高雄市梓官區 漁港一路１２２號１樓
５０嵐綠茶連鎖專賣店蚵仔寮店,高雄市梓官區 漁港一路１２２號１樓
５０嵐綠茶連鎖專賣店鳥松中正店,高雄市鳥松區 中正路３４５號１樓
５０嵐綠茶連鎖專賣店鳥松中正店,高雄市鳥松區 中正路３４５號１樓
５０嵐綠茶連鎖專賣店富國店,高雄市左營區 富國路２７５號
５０嵐綠茶連鎖專賣店－富國店,高雄市左營區 富國路２７５號
５０嵐綠茶連鎖專賣店復興一心店,高雄市前鎮區 復興三路２９７號１樓
５０嵐綠茶連鎖專賣店復興一心店,高雄市前鎮區 復興三路２９７號１樓
５０嵐綠茶連鎖專賣店華夏新光店,高雄市左營區 華夏路９３９號１樓
５０嵐綠茶連鎖專賣店華夏新光店,高雄市左營區 華夏路９３９號１樓
５０嵐綠茶連鎖專賣店陽明店,高雄市三民區 陽明路３９０號１樓
５０嵐綠茶連鎖專賣店楠梓樂群店,高雄市楠梓區 樂群路１５２號
５０嵐綠茶連鎖專賣店楠梓樂群店,高雄市楠梓區 樂群路１５２號
５０嵐綠茶連鎖專賣店獅甲復興店,高雄市前鎮區 復興三路１２９號
５０嵐綠茶連鎖專賣店獅甲復興店,高雄市前鎮區 復興三路１２９號
５０嵐綠茶連鎖專賣店瑞隆二店,高雄市前鎮區 瑞隆路３１５號１樓
５０嵐綠茶連鎖專賣店瑞隆店,高雄市前鎮區 瑞隆路５４２號１樓
５０嵐綠茶連鎖專賣店瑞隆店,高雄市前鎮區 瑞隆路５４２號
５０嵐綠茶連鎖專賣店瑞豐店,高雄市鼓山區 裕誠路１１８２號
５０嵐綠茶連鎖專賣店義華店,高雄市三民區 義華路２７６號１樓
５０嵐綠茶連鎖專賣店裕誠明誠店,高雄市鼓山區 裕誠路１６４６號１樓
５０嵐綠茶連鎖專賣店裕誠明誠店,高雄市鼓山區 裕誠路１６４６號１樓
５０嵐綠茶連鎖專賣店鼎山店,高雄市三民區 鼎山街６１７號
５０嵐綠茶連鎖專賣店鼎山店,高雄市三民區 鼎山街６１７號
５０嵐綠茶連鎖專賣店旗津店,高雄市旗津區 廟前路１１２號１樓
５０嵐綠茶連鎖專賣店旗津店,高雄市旗津區 廟前路１１２號１樓
５０嵐綠茶連鎖專賣店旗楠安泰店,高雄市楠梓區 旗楠路９０７之１２號１樓
５０嵐綠茶連鎖專賣店旗楠安泰店,高雄市楠梓區 旗楠路９０７之１２號１樓
５０嵐綠茶連鎖專賣店漢民店,高雄市小港區 漢民路６６９號１樓
５０嵐綠茶連鎖專賣店漢民店,高雄市小港區 漢民路６６９號１樓
５０嵐綠茶連鎖專賣店福德店,高雄市苓雅區 福德三路２００號
５０嵐綠茶連鎖專賣店鳳山八德店,高雄市鳳山區 八德路２８０號１樓
５０嵐綠茶連鎖專賣店鳳山中崙店,高雄市鳳山區 中崙二路５６０號
５０嵐綠茶連鎖專賣店鳳山文衡店,高雄市鳳山區 文衡路４４５號
５０嵐綠茶連鎖專賣店鳳山文衡店,高雄市鳳山區 文衡路４４５號
５０嵐綠茶連鎖專賣店鳳山光復店,高雄市鳳山區 光復路一段６８號
５０嵐綠茶連鎖專賣店鳳山青年店,高雄市鳳山區 青年路一段３１３號
５０嵐綠茶連鎖專賣店鳳山青年店,高雄市鳳山區 青年路一段３１３號
５０嵐綠茶連鎖專賣店鳳山建國店,高雄市鳳山區 建國路三段２５５號１樓
５０嵐綠茶連鎖專賣店鳳山建國店,高雄市鳳山區 建國路三段２５５號１樓
５０嵐綠茶連鎖專賣店鳳商車站店,高雄市鳳山區 文衡路２７號
５０嵐綠茶連鎖專賣店鳳楠店,高雄市楠梓區 鳳楠路２６５號１樓
５０嵐綠茶連鎖專賣店鳳楠店,高雄市楠梓區 鳳楠路２６５號１樓
５０嵐綠茶連鎖專賣店德民店,高雄市楠梓區 德民路９１５號１樓
５０嵐綠茶連鎖專賣店德民店,高雄市楠梓區 德民路９１５號１樓
５０嵐綠茶連鎖專賣店慶豐店,高雄市鼓山區 慶豐街２２號
５０嵐綠茶連鎖專賣店樹科大鳳旗店,高雄市燕巢區 鳳旗路１６３號
５０嵐綠茶連鎖專賣店樹科大鳳旗店,高雄市燕巢區 鳳旗路１６３號１樓
５０嵐綠茶連鎖專賣店橋頭店,高雄市橋頭區 橋南路１００號
５０嵐綠茶連鎖專賣店橋頭店,高雄市橋頭區 橋南路１００號
５０嵐綠茶連鎖專賣店燕巢中民店,高雄市燕巢區 中民路７３２號１樓
５０嵐綠茶連鎖專賣店燕巢中民店,高雄市燕巢區 中民路７３２號１樓
５０嵐綠茶連鎖專賣店彌陀中正店,高雄市彌陀區 中正路１５９號１樓
５０嵐綠茶連鎖專賣店覺民店,高雄市三民區 覺民路１８５號
５０嵐綠茶連鎖專賣店覺民店,高雄市三民區 覺民路１８５號
５０嵐維仁店,高雄市岡山區 維新路１３８號１樓
７００１聯通高雄總圖場,高雄市前鎮區 林森四路１８９號
８５度Ｃ–岡山大義店,高雄市岡山區 大義二路３３２號１樓
８５度Ｃ－高雄仁武店,高雄市仁武區 中華路３６７號
８５度Ｃ－高雄公正店,高雄市前鎮區 瑞崗里瑞隆路３８２號１樓
８５度Ｃ－高雄右昌店,高雄市楠梓區 德民路９０３號１至２樓
８５度Ｃ－高雄岡山店,高雄市岡山區 壽天路３７－３號１樓
８５度Ｃ高雄茄萣店,高雄市茄萣區 茄萣路二段３８１號
８５度Ｃ－高雄富國店,高雄市左營區 富國路２３８號
８５度Ｃ－高雄旗山店,高雄市旗山區 華中街７號
８５度Ｃ－高雄漢民店,高雄市小港區 漢民路７２７號１樓、７２９號１樓
８５度Ｃ－楠梓建楠店,高雄市楠梓區 建楠路１１６號１樓
８５度Ｃ－楠梓德賢店,高雄市楠梓區 德賢路１８８號１樓
８５度Ｃ－路竹忠孝店,高雄市路竹區 中山路９３５號１樓
８５度Ｃ－鳳山中山店,高雄市鳳山區 中山西路３０６號１樓
８５度Ｃ－鳳山五甲店,高雄市鳳山區 五甲二路４９３號
８５度Ｃ－鳳山文龍店,高雄市鳳山區 文龍東路６９２號
８５度Ｃ－橋頭成功店,高雄市橋頭區 成功北路７１號１樓
Ａｊｕｓｓｉ－阿啾西拉麵圖書館－小港二苓店,高雄市小港區 二苓路２６３號１樓
ＢＬＩＫＥ－高雄自強店,高雄市前金區 自強三路２５１號１＋２樓
ＢＯＢＯ波波－高雄明哲店,高雄市三民區 明哲路３３號１樓
ＣＩＡＯ！Ｊｅｓｓｙ　ｓｃｏｎｅ,高雄市新興區 中正三路１－１５號
ｃｉａｏ義式料理,高雄市楠梓區 壽豐路３０６號
Ｃｉｎｄｙ、ｓ　ＰＡＮＣＡＫＥ,高雄市鼓山區 華欣路７號１樓
ＤＡＭＮ　ＧＯＯＤ　ＢＵＲＧＥＲ,高雄市鹽埕區 真愛路１號
Ｄａｚｅ　聆聽,高雄市左營區 南屏路４１０號
ＤＥＢＵＧ＿２４自助麵站,高雄市楠梓區 加昌路３３２巷１６號
Ｄｒｉｎｋｓｔｏｒｅ　水雲朵高雄成功店,高雄市苓雅區 成功一路２１０－２號１樓
ＦＦ　ＣＨＩＣＫＥＮ,高雄市楠梓區 藍昌路４５３號
Ｇ·ｂｕｒｇｅｒ　小港店,高雄市小港區 桂華街１２號
ＧＯＲ、　Ｃｏｆｆｅｅ　內惟藝術中心門市,高雄市鼓山區 馬卡道路３２９號
ＧＯＲ、　ＣＯＦＦＥＥ衛武營門市,高雄市鳳山區 三多一路１號（衛武營藝術文化中心之公共鋼琴旁、３樓Ｃ櫃位
ＧＯＲ、Ｃｏｆｆｅｅ,高雄市前鎮區 中山三路３９號
ＨＡＮｄＭＡｄＥ手創茶飲,高雄市大社區 中山路２７２號一樓
ｉｓｈｏｐ摩寶智慧商店－暮盆義大店,高雄市燕巢區 義大路１號Ｂ１＿２５號櫃位
Ｊ　ｃａｆ’ｅ,高雄市前金區 新田路２７０號１樓
ＪＩＴ快速剪髮－高雄武廟店,高雄市苓雅區 武廟路２之１號１樓
ＪＩＴ快速剪髮總部,高雄市三民區 鼎山街５７６號之１三樓（ＪＩＴ快速剪髮總部）
ＫＦＣ－高雄三多,高雄市苓雅區 三多二路１９３號１、２樓
ＫＦＣ－高雄三多Ｋｉｏｓｋ,高雄市苓雅區 三多二路１９３號１、２樓
ＫＦＣ－高雄大順二,高雄市三民區 大順二路２４６號１、２樓
ＫＦＣ－高雄大順二　Ｋｉｏｓｋ,高雄市三民區 大順二路２４６號１、２樓
ＫＦＣ－高雄中安,高雄市小港區 中安路７７１號
ＫＦＣ－高雄中安ＫＩＯＳＫ,高雄市小港區 中安路７７１、７７３號
ＫＦＣ－高雄中華五門市部,高雄市前鎮區 中華五路１１１１號１樓
ＫＦＣ－高雄中華五門市部　Ｋｉｏｓｋ,高雄市前鎮區 中華五路１１１１號１樓
ＫＦＣ－高雄仁武,高雄市仁武區 仁雄路８６之４３號
ＫＦＣ－高雄仁武Ｋｉｏｓｋ,高雄市仁武區 仁雄路８６之４３號
ＫＦＣ－高雄文化,高雄市苓雅區 五福一路２２號地下一樓及１、２樓
ＫＦＣ－高雄文化Ｋｉｏｓｋ,高雄市苓雅區 五福一路２２號地下１樓及１樓、２樓
ＫＦＣ－高雄自由,高雄市左營區 自由二路１７３號
ＫＦＣ－高雄自由　Ｋｉｏｓｋ,高雄市左營區 自由二路１７３號
ＫＦＣ－高雄岡山,高雄市岡山區 岡山路２７１號１～３樓
ＫＦＣ－高雄岡山　Ｋｉｏｓｋ,高雄市岡山區 岡山路２７１號１至３樓
ＫＦＣ－高雄沿海,高雄市小港區 沿海一路１４５號
ＫＦＣ－高雄沿海Ｋｉｏｓｋ,高雄市小港區 沿海一路１４５號
ＫＦＣ－高雄青海,高雄市鼓山區 青海路１５１號
ＫＦＣ－高雄青海Ｋｉｏｓｋ,高雄市鼓山區 青海路１５１號
ＫＦＣ－高雄後昌餐廳,高雄市楠梓區 後昌新路２０號
ＫＦＣ－高雄後昌餐廳　Ｋｉｏｓｋ,高雄市楠梓區 後昌新路２０號
ＫＦＣ－高雄站前,高雄市三民區 建國三路２３號１樓
ＫＦＣ－高雄站前　Ｋｉｏｓｋ,高雄市三民區 建國三路２３號１樓
ＫＦＣ－高雄崇德,高雄市左營區 崇德路３１１號
ＫＦＣ－高雄崇德ＫＩＯＳＫ,高雄市左營區 新光里崇德路３１１號
ＫＦＣ－高雄楠梓二,高雄市楠梓區 建楠路１５０、１５２號１、２樓
ＫＦＣ－高雄楠梓二　Ｋｉｏｓｋ,高雄市楠梓區 建楠路１５０、１５２號１、２樓
ＫＦＣ－高雄瑞隆,高雄市前鎮區 瑞隆路４４５號
ＫＦＣ－高雄瑞隆Ｋｉｏｓｋ,高雄市前鎮區 瑞隆路４４５號
ＫＦＣ－高雄鼎中,高雄市三民區 鼎中路４００號
ＫＦＣ－高雄鼎中Ｋｉｏｓｋ,高雄市三民區 鼎中路４００號
